level_0,OD,u,qpt,Upt,Uc,Um,WT,phi,Ipt,qc,ttc,ttpt,budget,objective
11,23_13,0.5108179346932369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.5108179346932369,10.0,2000,3259.3243574060307
12,23_14,0.5080687652121303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.5080687652121303,10.0,2000,3259.3243574060307
13,23_24,0.5068432265663303,0.0,-3.1,-0.2520529679698991,-1.762447656905465,0.0,0.0,0.0,2457.359077083218,0.5068432265663303,10.0,2000,3259.3243574060307
14,23_9,0.2254863981008615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.2254863981008615,10.0,2000,3259.3243574060307
15,24_16,0.3333501696962771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.3333501696962771,10.0,2000,3259.3243574060307
16,24_23,0.5068432265663303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.5068432265663303,10.0,2000,3259.3243574060307
17,3_13,0.02706319710580055,283.7525530982758,-1.034042096160821,-0.1081189591317402,0.0,0.1399454159807176,4.360242357063857,0.0,716.2474469017247,0.02706319710580055,0.0667,2000,3259.3243574060307
18,3_16,0.05666130179306514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.05666130179306514,10.0,2000,3259.3243574060307
19,3_23,0.5283623316766475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.5283623316766475,10.0,2000,3259.3243574060307
20,3_24,0.03562913502212158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.03562913502212158,10.0,2000,3259.3243574060307
21,8_24,0.04229581917605363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.2,0.04229581917605363,10.0,2000,3259.3243574060307
22,9_13,0.02836249525650673,284.2254632247141,-1.032106165380924,-0.108508748576952,0.0,0.1401786530164492,4.37526284762858,0.0,715.7745367752859,0.02836249525650673,0.05,2000,3259.3243574060307
0,12_16,0.0,1942.578441520487,0.0,0.0,0.0,0.1959695496081882,28.32373597491592,1.251768606905659,0.0,0.0,0.0333,3000,2986.5773722748645
1,12_24,0.0,586.0903081411604,0.0,0.0,0.0,0.3723569655832291,31.07221211402879,0.9697162409024902,0.0,0.0,0.05,3000,2986.5773722748645
2,13_16,0.03939025635900228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.04,0.03939025635900228,10.0,3000,2986.5773722748645
3,13_23,0.4747486788973163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.9,0.4747486788973163,10.0,3000,2986.5773722748645
4,13_24,0.0181271188382558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.58,0.0181271188382558,10.0,3000,2986.5773722748645
5,14_12,0.02173115617782011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.578441520487,0.02173115617782011,10.0,3000,2986.5773722748645
6,14_16,0.2979570118726205,0.0,-3.1,-0.1893871035617861,0.4187956278093058,0.0,0.0,0.0,1057.421558479513,0.2979570118726205,10.0,3000,2986.5773722748645
7,14_23,0.4718562265826035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.14,0.4718562265826035,10.0,3000,2986.5773722748645
8,16_24,0.2966305711927591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.45,0.2966305711927591,10.0,3000,2986.5773722748645
9,1_24,0.05833822213830719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.84,0.05833822213830719,10.0,3000,2986.5773722748645
10,23_12,0.2137324381159625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0903081411604,0.2137324381159625,10.0,3000,2986.5773722748645
11,23_13,0.4747486788973163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.59,0.4747486788973163,10.0,3000,2986.5773722748645
12,23_14,0.4718562265826035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.4718562265826035,10.0,3000,2986.5773722748645
13,23_24,0.4705297859027421,0.0,-3.1,-0.2411589357708226,-1.656688039403067,0.0,0.0,0.0,2413.909691858839,0.4705297859027421,10.0,3000,2986.5773722748645
14,23_9,0.2253991047951739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,0.2253991047951739,10.0,3000,2986.5773722748645
15,24_16,0.2966305711927591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.06,0.2966305711927591,10.0,3000,2986.5773722748645
16,24_23,0.4705297859027421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.39,0.4705297859027421,10.0,3000,2986.5773722748645
17,3_13,0.02706319710582148,283.7525531002579,-1.034042096219853,-0.1081189591317464,0.0,0.1399454159816952,4.360242357126721,0.0,716.247446899742,0.02706319710582148,0.0667,3000,2986.5773722748645
18,3_16,0.0569346533424046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9,0.0569346533424046,10.0,3000,2986.5773722748645
19,3_23,0.4922930758807186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.3,0.4922930758807186,10.0,3000,2986.5773722748645
